30 30																													
7 0	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 
7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 	7 0 
7 0 	7 0 	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
7 0 	7 0 	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
7 0 	7 0 	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
7 0 	7 0 	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
7 0 	7 0 	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	45 22	45 22	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0 	5 0 	5 0 	47 12	47 12	47 12	47 12	47 12	5 0 	5 0 	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0 	5 0 	5 0 	47 13	47 13	47 13	47 13	47 13	5 0 	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0 	5 0 	5 0 	47 12	47 12	47 12	47 12	47 12	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0 	5 0 	5 0 	47 13	47 13	47 13	47 13	47 13	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
7 0 	7 0 	5 0 	5 0 	5 0 	5 0	5 0	5 0	5 0	5 0	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	8 3	7 0 	7 0 
